x,m
-4.184738981876765,a
-2.970493012718794,a
-3.991727465035784,a
-4.66441167129031,a
-3.363636493084568,a
-4.022177652933506,a
-1.7136657538653304,a
-3.067319095140421,a
-1.9905365091875706,a
-2.347728394585704,a
-1.3107971053522847,a
-1.638472130508618,a
-3.7417163766316555,a
-1.71592873322034,a
-1.7167603937521059,a
-2.7378103027314706,a
-3.8743131160905175,a
-1.6870875841898634,a
-2.6079175399718246,a
-4.102398130137482,a
-4.914191356947877,a
-3.165069450202846,a
-2.6271166722461974,a
-3.3251146107586345,a
-2.9152630707323675,a
-4.471422674953642,a
-3.3112268726353298,a
-2.1191413882548558,a
-2.5094295207871746,a
-1.8314040785471297,a
-2.1506307043454154,a
-2.5320163592456026,a
-1.0027808359414376,a
-1.408193027639316,a
-1.8715060427866594,a
-5.349874875220028,a
-2.021198873846188,a
-3.2385985130848383,a
-2.9457605634516724,a
-3.2660661139974048,a
-3.5185571472656347,a
-2.3777272934644045,a
-2.3417448848135938,a
-1.7345401432503746,a
-3.877733213407178,a
-3.7822112216264085,a
-2.9281658428643134,a
-3.2613155820030406,a
-3.3458887365694077,a
-3.255830638287161,a
-3.023959065090221,a
-2.9774291380434734,a
-1.4241811918239304,a
-5.004362847505503,a
-3.7596890621555787,a
-2.349394301189211,a
-4.078203576417363,a
-2.68349634609418,a
-2.608710864469221,a
-2.5834679614457126,a
-1.8478478415266206,a
-2.7948013427152762,a
-2.2999003893298844,a
-2.3880620762209084,a
-3.8421691920945698,a
-3.7211391900782154,a
-4.214705657066157,a
-2.30511613132681,a
-2.633956897051673,a
-2.0036878091636185,a
-3.692940547666974,a
-3.71001635878568,a
-3.475613669230266,a
-1.8217648184215873,a
-3.6703051416975474,a
-5.3042380232561825,a
-2.973417463534629,a
-3.0100292108735056,a
-3.6098530756320693,a
-3.233822847747767,a
-3.5379360252737264,a
-3.3460600029725,a
-2.2170462744018886,a
-3.1148724874565152,a
-2.291771151952786,a
-2.2153433725450804,a
-3.0360684200824792,a
-2.8234906010419696,a
-3.276746548963756,a
-4.058779297147484,a
-2.550636732396828,a
-3.338934435580079,a
-3.103365808735868,a
-2.1582008438832254,a
-1.7939824181564026,a
-3.8837765472607577,a
-3.328039629186946,a
-4.388745204460719,a
-2.835592661248588,a
-1.5150285802423018,a
-4.503373724850082,a
-2.05058528187992,a
-2.9687627550522375,a
-4.2959053184854294,a
-2.3340096557359225,a
-4.118322571136228,a
-2.3119865385042124,a
-3.282423056567112,a
-4.9273087653284,a
-4.5943285552925675,a
-1.4429058275106896,a
-3.206585215150495,a
-3.2878742521485766,a
-3.5632539708560667,a
-3.9515521480363636,a
-3.6458147417772238,a
-3.4185061334964644,a
-1.2527481778432559,a
-0.7563236646683409,a
-1.8856581176315412,a
-0.9199585368368033,a
-5.017807183125278,a
-2.108527165942281,a
-3.083522578983819,a
-2.58044240222074,a
-2.936179315469532,a
-1.298871416806754,a
-3.1413528216879505,a
-3.7540177488842836,a
-1.7296134711152373,a
-4.814518840236694,a
-1.6700777987138224,a
-2.824798599456551,a
-1.8746856047246376,a
-3.2747815234073454,a
-3.758667292887492,a
-3.242231589061852,a
-2.737933717256773,a
-3.6079719106380517,a
-2.637063486306518,a
-1.918480783907589,a
-0.0014987854166528258,a
-2.44335545199103,a
-1.8209808432359023,a
-3.176837689482311,a
-3.6217215863196985,a
-2.907296013511652,a
-1.2061744960423462,a
-2.817726098260604,a
-2.0915886168117117,a
-1.8606312044596265,a
-3.403499985810622,a
-3.4661811922297976,a
-2.2799384398054707,a
0.09590867379925072,a
0.9203820490829591,a
-1.2288722993408108,a
-2.3899433816403506,a
-3.3218831391190387,a
-2.9589836069529265,a
-3.236915691857823,a
-3.0899875691612384,a
-3.6045475179303708,a
-2.911110899494109,a
0.6203151494726886,a
-2.264476074266052,a
-2.2284852479441106,a
-2.2116514173198727,a
-2.950117601805487,a
-2.6736530405759287,a
-2.0471080364790213,a
-2.972466125759054,a
-2.5249019401889856,a
-3.1173626382236868,a
-1.7772503100455195,a
-2.224559299029578,a
-2.1082757205019185,a
-2.7600951244710763,a
-2.0986248909067715,a
-3.096689577083907,a
-3.2377802789314005,a
-4.153740670994454,a
-4.029464154149576,a
-2.014558521581632,a
-3.5906947411633534,a
-2.5667840671543254,a
-2.753613591673853,a
-4.548251157279409,a
-3.7784311841757443,a
-2.6908510865127218,a
-2.279149015395342,a
-2.513521033393474,a
-0.9472927995023825,a
-3.3518493440951307,a
-3.039014257442172,a
-2.698653281221361,a
-2.450261738787811,a
-2.7198699523389287,a
-2.7626887983477015,a
-3.775056413517377,a
-3.259162870666517,a
-2.367339294538658,a
-3.9618676017483114,a
-2.896077429617022,a
-3.5793865615060394,a
-3.135455068404866,a
-3.9378199207370725,a
-3.393212024009575,a
-0.6914816786123978,a
-1.7088842600341865,a
-2.916845854959674,a
-4.0671021962967915,a
-3.7640072141802183,a
-3.592238609991719,a
-3.6989458772832227,a
-2.1836345500026195,a
-2.1162646465506154,a
-4.046663081499551,a
-2.6352054036586776,a
-1.463528365885213,a
-3.373961976693896,a
-3.0937563596542934,a
-3.0416005927292837,a
-2.7123082926840247,a
-2.5214628515615596,a
-2.6017671093702637,a
-2.476120827138958,a
-2.6377312503350794,a
-3.826787759957459,a
-3.0718163580002047,a
-2.503480247940789,a
-2.9350006631715466,a
-4.673605328136693,a
-4.144479874611667,a
-3.946648700579164,a
-2.442298812217532,a
-1.9766346369399845,a
-1.466359089189032,a
-2.3870353402947786,a
-2.3188925387686874,a
-3.388065690099947,a
-3.540465384770291,a
-2.6982602883240374,a
-3.7692989213495247,a
-3.5158131359662237,a
-3.133012662213709,a
-4.281936945148296,a
-3.5261468739164386,a
-3.225303174288188,a
-1.9279695758427382,a
-1.5076587536843564,a
-0.8055124123392359,a
-2.298044746465946,a
-3.7826121336448484,a
-2.587060715240434,a
-1.5243606100324718,a
-2.1021266751720815,a
-0.6830307385898924,a
-2.72879641302118,a
-2.3050031816551266,a
-2.1697364443194433,a
-2.58269565535711,a
-1.6953868631128861,a
-2.3616399362568252,a
-3.435524080856064,a
-3.401926265443522,a
-3.741088307497506,a
-3.5661506760089443,a
-2.4223857531290003,a
-3.734039713478677,a
-3.1404274149930322,a
-1.5740301741121574,a
-3.873540368270063,a
-4.3057474690358095,a
-2.550456155890685,a
-2.9860621545499564,a
-3.829054224605002,a
-2.7048575315538015,a
-4.134229670964591,a
-2.5750038083609743,a
-2.1478116767446203,a
-2.839796213570335,a
-2.779995514333454,a
-1.2391833674618904,a
-4.231462825398984,a
-3.323973341472623,a
-2.338313576823638,a
-1.995437321056202,a
-3.3990762528358527,a
-4.134929439703511,a
-1.5675219532124456,a
-3.7427291065532335,a
-2.372425752449538,a
-2.1909996165218506,a
-3.673110837580015,a
-2.03520891460934,a
-2.5215972603995236,a
-3.305656691701061,a
-2.626070843514084,a
-2.982064607249039,a
-2.7354938066541807,a
-2.0008994803462237,a
-3.490433522522394,a
-4.102283205375182,a
-3.01905840822707,a
-1.7056438691198277,a
-3.181073439868935,a
-2.0349513236554095,a
-1.1552570880927127,a
-4.481384927319218,a
-2.264308932430171,a
-4.337197416392858,a
-2.9648337927996504,a
-4.265629372153473,a
-4.833171181229531,a
-2.927599538006727,a
-3.5230289551105565,a
-3.776014669076326,a
-2.6727091464529424,a
-3.7619358907493545,a
-2.9627041070096127,a
-3.02570297522457,a
-3.4321565150453415,a
-1.152687750968799,a
-4.0163921877657485,a
-3.5305573729831874,a
-3.007887182401272,a
